1,1,1777,1,13
2,1,223,1,49
3,1,4341,2,79
4,1,2451,3,7
5,1,3846,4,12
6,2,2013,4,74
7,1,4425,5,60
8,2,3094,5,70
9,2,2018,6,1
10,2,3614,7,56
11,1,3213,8,47
12,1,2763,8,56
13,1,531,9,16
14,1,1457,9,51
15,2,704,10,45
16,2,1691,10,85
17,1,542,11,30
18,1,1348,12,59
19,1,4100,13,81
20,2,3706,14,38
21,2,1824,15,83
22,2,2332,15,85
23,1,151,16,24
24,1,3644,16,13
25,2,559,17,52
26,1,2243,17,54
27,1,4142,18,84
28,2,3277,19,18
29,1,3167,20,83
30,2,119,21,83
31,2,1114,21,73
32,2,3022,22,17
33,2,2217,22,87
34,2,2798,23,29
35,2,1741,23,30
36,1,2635,24,90
37,1,2818,24,51
38,2,4239,25,90
39,2,2433,25,42
40,2,2476,26,89
41,1,4278,26,49
42,1,2219,27,86
43,2,3399,27,35
44,2,2746,28,8
45,2,3276,28,77
46,2,654,29,2
47,2,3231,30,2
48,2,3340,31,40
49,2,2857,31,48
50,2,15,32,2
51,2,4137,33,6
52,2,1762,34,32
53,1,3565,34,64
54,1,4134,35,18
55,1,1254,35,49
56,1,1394,36,35
57,1,1515,37,3
58,1,1491,38,88
59,1,4452,38,73
60,2,1317,39,49
61,1,77,40,16
62,2,4220,40,30
63,1,2468,41,30
64,1,1362,41,32
65,1,1245,42,56
66,1,4353,43,61
67,1,3097,44,46
68,1,1199,44,45
69,2,245,45,17
70,1,1097,46,55
71,1,3225,46,2
72,2,2668,47,63
73,2,3659,47,2
74,2,1622,48,55
75,2,1278,49,4
76,1,3460,49,84
77,1,2800,50,58
78,2,1205,50,68
79,1,2747,51,48
80,1,1914,51,78
81,2,1970,52,61
82,1,1898,52,35
83,2,59,53,32
84,1,2438,53,28
85,2,3833,54,75
86,1,1068,55,2
87,1,2105,55,37
88,2,2598,56,26
89,2,223,57,2
90,2,4480,57,30
91,1,4324,58,27
92,1,1223,59,54
93,2,3581,60,39
94,2,3085,60,17
95,2,2667,61,63
96,2,3522,62,35
97,2,2712,63,73
98,2,1679,64,31
99,1,915,65,81
100,1,1706,65,7
101,2,4449,66,62
102,1,496,66,5
103,1,3818,67,43
104,2,1694,67,2
105,1,4123,68,17
106,1,1065,68,7
107,2,837,69,37
108,2,796,69,52
109,1,1333,70,49
110,1,3360,71,72
111,1,1437,72,64
112,1,491,72,27
113,1,1260,73,84
114,1,2540,74,84
115,2,1921,75,68
116,2,3381,75,48
117,2,1997,76,51
118,1,2272,76,67
119,1,3373,77,38
120,2,1144,78,2
121,2,4040,78,69
122,1,1110,79,9
123,2,3596,79,34
124,2,486,80,39
125,1,3564,81,64
126,1,469,82,37
127,1,2510,82,89
128,2,1802,83,89
129,2,3145,84,56
130,1,1592,85,84
131,1,3089,85,52
132,2,1361,86,56
133,1,4103,86,84
134,2,1598,87,89
135,2,2448,87,46
136,1,143,88,27
137,1,3690,89,58
138,1,123,89,12
139,2,285,90,54
140,1,4364,90,35
141,1,1052,91,76
142,2,3898,91,12
143,1,1917,92,53
144,2,1238,93,52
145,1,1477,93,22
146,1,1643,94,10
147,1,642,95,64
148,2,4269,96,58
149,1,2413,96,80
150,2,7,97,57
151,2,1749,98,85
152,2,2984,99,73
153,2,3796,100,13
154,2,3538,101,22
155,1,62,102,28
