1,1,7703
2,2,5002
3,3,2314
4,4,2416
5,5,4936
6,6,6801
7,7,6676
8,8,4026
9,9,5414
10,10,3522
11,11,2810
12,12,2452
13,13,6756
14,14,2332
15,15,5602
16,16,2987
17,17,2515
18,18,5042
19,19,2296
20,20,2800
21,21,5820
22,22,5866
23,23,7803
24,24,6477
25,25,4863
26,26,6744
27,27,5002
28,28,5939
29,29,2390
30,30,4815
31,31,7544
32,32,4169
33,33,5285
34,34,3074
35,35,4994
36,36,7645
37,37,4567
38,38,4066
39,39,3749
40,40,5025
41,41,3852
42,42,7609
43,43,2211
44,44,3293
45,45,4605
46,46,2462
47,47,6897
48,48,3802
49,49,2670
50,50,6255
51,51,6048
52,52,7649
53,53,5929
54,54,4793
55,55,6478
56,56,7124
57,57,4139
58,58,4624
59,59,7512
60,60,4882
61,61,2113
62,62,7404
63,63,3531
64,64,2443
65,65,2399
66,66,6715
67,67,6938
68,68,5176
69,69,3251
70,70,6900
71,71,4931
72,72,4445
73,73,2635
74,74,2314
75,75,6756
76,76,5177
77,77,7598
78,78,7622
79,79,3052
80,80,3678
81,81,2423
82,82,4836
83,83,2986
84,84,2270
85,85,2892
86,86,7751
87,87,4944
88,88,6444
89,89,3173
90,90,3367
91,91,5914
92,92,4762
93,93,3909
94,94,3090
95,95,6415
96,96,7931
97,97,5457
98,98,3029
99,99,5148
100,100,7936
101,101,5463
102,102,7444
103,103,4316
104,104,7707
105,105,5743
106,106,5951
107,107,2782
108,108,6422
109,109,2460
110,110,6148
111,111,2675
112,112,7681
113,113,4611
114,114,6377
115,115,2435
116,116,4952
117,117,5772
118,118,6829
119,119,7738
120,120,7289
121,121,7680
122,122,6209
123,123,6678
124,124,6179
125,125,3721
126,126,2552
127,127,4379
128,128,6279
129,129,5234
130,130,3085
131,131,2565
132,132,4928
133,133,2834
134,134,7562
135,135,3421
136,136,4972
137,137,2496
138,138,5725
139,139,5038
140,140,2628
141,141,4810
142,142,3461
143,143,4006
144,144,6433
145,145,2912
146,146,7039
147,147,3929
148,148,4260
149,149,5752
150,150,7745
151,151,2604
152,152,7561
153,153,4114
154,154,5890
155,155,2575
156,156,2852
157,157,7229
158,158,4162
159,159,7429
160,160,7952
161,161,7427
162,162,3853
163,163,5545
164,164,2144
165,165,7646
166,166,4977
167,167,4398
168,168,6910
169,169,4832
170,170,2436
171,171,6632
172,172,2583
173,173,5594
174,174,6305
175,175,5651
176,176,5911
177,177,7382
178,178,4156
179,179,7962
180,180,4783
181,181,2457
182,182,7696
183,183,5449
184,184,2019
185,185,6082
186,186,7820
187,187,4940
188,188,5054
189,189,7059
190,190,4554
191,191,7162
192,192,4813
193,193,2046
194,194,6412
195,195,2922
196,196,4188
197,197,4352
198,198,7329
199,199,5299
200,200,4839
