1,1131,1,77
2,1530,1,18
3,3210,2,43
4,4358,2,58
5,248,3,70
6,4235,3,20
7,2702,4,55
8,3743,4,81
9,1341,5,66
10,893,5,55
11,459,5,52
12,1777,6,49
13,4050,7,13
14,257,7,86
15,1092,8,75
16,964,8,80
17,2067,9,57
18,59,9,26
19,825,10,18
20,679,10,54
21,745,11,76
22,4222,11,70
23,2183,12,22
24,1741,12,66
25,860,12,86
26,2120,13,5
27,3814,14,71
28,3591,15,90
29,2896,15,77
30,87,15,50
31,1859,16,13
32,2733,17,7
33,1876,17,45
34,2545,17,90
35,3969,18,84
36,3556,18,74
37,1137,19,42
38,2611,20,79
39,2065,21,41
40,2250,21,57
41,1288,21,46
42,1951,22,79
43,3894,22,84
44,4119,23,60
45,4124,24,18
46,1039,24,74
47,1260,25,65
48,2929,25,6
49,4330,25,78
50,237,26,63
51,3563,27,57
52,743,27,90
53,689,27,21
54,23,28,57
55,683,28,54
56,10,29,28
57,3774,30,12
58,3622,30,3
59,3311,31,15
60,521,31,23
61,1163,32,65
62,1722,33,38
63,3402,33,75
64,3793,34,64
65,3626,34,51
66,1853,35,61
67,142,36,44
68,2989,36,59
69,844,36,77
70,594,37,31
71,4208,37,83
72,1534,37,11
73,2860,38,2
74,3285,38,51
75,4261,39,90
76,3322,39,43
77,4478,39,25
78,3078,40,78
79,161,40,74
80,1577,40,88
81,1989,41,61
82,31,41,15
83,1553,42,75
84,3686,43,46
85,4048,44,12
86,3547,44,29
87,4101,44,61
88,2610,45,66
89,1754,45,61
90,1313,45,77
91,2302,46,6
92,3926,46,23
93,1881,47,52
94,194,47,28
95,4439,47,15
96,2956,48,21
97,2569,48,12
98,1986,48,2
99,4335,49,49
100,2999,50,28
101,3915,50,48
102,4499,50,50
103,3318,51,59
104,3911,51,88
105,1225,52,84
106,3123,52,52
107,3341,53,7
108,1229,53,9
109,1458,54,90
110,2525,54,5
111,1640,54,15
112,2973,55,30
113,794,55,80
114,2918,56,15
115,363,56,45
116,751,57,53
117,4175,57,53
118,3464,58,31
119,4276,58,72
120,1980,59,60
121,69,59,15
122,3135,60,22
123,1216,60,56
124,76,61,17
125,2253,61,67
126,1924,62,25
127,3310,62,20
128,2431,63,82
129,1353,64,75
130,2203,64,14
131,308,65,37
132,1589,65,90
133,3478,66,28
134,160,66,36
135,3537,67,27
136,3703,68,71
137,3957,68,39
138,649,68,24
139,1308,69,44
140,2638,70,61
141,239,70,19
142,794,71,43
143,3924,71,24
144,1365,71,10
145,2844,72,80
146,4166,73,30
147,2656,73,85
148,2162,74,32
149,2167,74,69
150,4150,75,60
151,3976,75,49
152,3694,76,67
153,929,76,29
154,2805,77,70
155,3368,78,39
156,1507,79,67
157,875,79,48
158,1088,79,73
159,3853,80,86
160,1757,81,12
161,2391,81,50
162,2805,82,16
163,3601,82,87
164,2803,83,87
165,1079,83,79
166,223,84,53
167,4201,84,26
168,634,84,60
169,593,85,90
170,4332,86,38
171,1757,86,87
172,851,87,44
173,2816,88,34
174,3877,89,61
175,278,89,59
176,3505,90,74
177,4198,91,29
178,4431,91,77
179,3072,92,85
180,1372,93,40
181,4246,94,35
182,1826,94,43
183,599,95,41
184,2995,95,81
185,2407,96,16
186,1248,96,81
187,2268,97,84
188,472,97,59
189,1250,97,31
190,3290,98,82
191,2131,98,28
192,1550,99,10
193,4067,99,45
194,3718,100,35
195,3098,100,17
196,896,101,44
197,2767,101,27
198,2956,102,41
199,2594,102,21
200,96,103,24
201,1607,103,64
202,187,104,21
203,238,104,19
204,726,104,90
205,205,105,82
206,224,106,23
207,3658,107,26
208,2536,107,48
209,1035,108,49
210,1545,109,52
211,3395,110,8
212,2450,110,31
213,2343,110,71
214,3730,111,37
215,3585,112,21
216,2695,113,48
217,2677,113,10
218,3511,114,90
219,4144,115,10
220,4180,115,58
221,1067,115,10
222,2791,116,49
223,1251,116,73
224,4472,117,82
225,4130,118,53
226,2817,118,43
227,1452,119,2
228,1578,120,73
229,1404,121,87
230,3301,121,20
231,3909,122,37
232,1916,122,15
233,2152,123,64
234,762,123,76
235,2469,124,23
236,4154,125,20
237,4075,125,69
238,3502,126,23
239,27,126,53
240,1083,127,47
241,3006,128,77
242,3019,129,12
243,4373,129,43
244,3257,130,70
245,2223,130,9
246,3109,131,32
247,341,131,68
248,3773,132,27
249,3375,133,55
250,155,134,77
251,675,135,65
252,1288,135,73
253,4385,136,43
254,817,136,15
255,3169,136,7
256,3713,137,11
257,4472,138,73
258,3163,138,11
259,2374,139,87
260,2671,140,57
261,609,140,12
262,3422,141,55
263,2833,141,13
264,3925,142,85
265,533,142,85
266,2428,143,81
267,3628,143,58
268,1054,144,71
269,910,144,55
270,3855,145,48
271,210,145,30
272,4108,146,66
273,4382,147,76
274,3677,147,84
275,566,148,37
276,4287,148,1
277,2614,149,72
278,291,150,68
279,1806,150,69
280,2340,151,24
281,939,152,58
282,3208,152,42
283,2242,152,22
284,2244,153,1
285,3067,153,16
286,1235,153,78
287,2728,154,71
288,2205,155,36
289,109,155,61
290,361,155,79
291,56,156,85
292,1584,156,35
293,253,157,28
294,3971,158,84
295,2250,159,9
296,3563,159,75
297,1156,159,29
