1,Afganistan
2,Albania
3,Algieria
4,Andora
5,Angola
6,Anguilla
7,Antigua i Barbuda
8,Arabia Saudyjska
9,Argentyna
10,Armenia
11,Aruba
12,Australia
13,Austria
14,Azerbejdżan
15,Bahamy
16,Bahrajn
17,Bangladesz
18,Barbados
19,Belgia
20,Belize
21,Benin
22,Bermudy
23,Bhutan
24,Białoruś
25,Boliwia
26,Bonaire, Sint Eustatius and Saba
27,Bośnia i Hercegowina
28,Botswana
29,Brazylia
30,Brunei
31,Brytyjskie Terytorium Oceanu Indyjskiego
32,Brytyjskie Wyspy Dziewicze
33,Bułgaria
34,Burkina Faso
35,Burundi
36,Chile
37,Chiny
38,Chiny - Specjalny Region Administracyjny Hongkong
39,Chiny - Specjalny Region Administracyjny Makau
40,Chorwacja
41,Curaçao
42,Cypr
43,Czad
44,Czarnogóra
45,Czechy
46,Dania
47,Demokratyczna Republika Konga
48,Dominika
49,Dominikana
50,Dżibuti
51,Egipt
52,Ekwador
53,Erytrea
54,Estonia
55,Eswatini (Suasi)
56,Etiopia
57,Falklandy (Malwiny)
58,Fidżi
59,Filipiny
60,Finlandia
61,Francja
62,Francuskie Terytoria Południowe
63,Gabon
64,Gambia
65,Ghana
66,Gibraltar
67,Grecja
68,Grenada
69,Grenlandia
70,Gruzja
71,Guam
72,Guernsey
73,Gujana
74,Gujana Francuska
75,Gwadelupa
76,Gwatemala
77,Gwinea
78,Gwinea Bissau
79,Gwinea Równikowa
80,Haiti
81,Hiszpania
82,Holandia
83,Honduras
84,Indie
85,Indonezja
86,Irak
87,Iran
88,Irlandia
89,Islandia
90,Izrael
91,Jamajka
92,Japonia
93,Jemen
94,Jersey
95,Jordania
96,Kajmany
97,Kambodża
98,Kamerun
99,Kanada
100,Katar
101,Kazachstan
102,Kenia
103,Kirgistan
104,Kiribati
105,Kolumbia
106,Komory
107,Kongo
108,Korea Południowa
109,Korea Północna
110,Kosowo
111,Kostaryka
112,Kuba
113,Kuwejt
114,Laos
115,Lesotho
116,Liban
117,Liberia
118,Libia
119,Liechtenstein
120,Litwa
121,Luksemburg
122,Łotwa
123,Macedonia Północna
124,Madagaskar
125,Majotta
126,Malawi
127,Malediwy
128,Malezja
129,Mali
130,Malta
131,Mariany Północne
132,Maroko
133,Martynika
134,Mauretania
135,Mauritius
136,Meksyk
137,Mikronezja
138,Mjanma (Birma)
139,Mołdawia
140,Monako
141,Mongolia
142,Montserrat
143,Mozambik
144,Namibia
145,Nauru
146,Nepal
147,Niemcy
148,Niger
149,Nigeria
150,Nikaragua
151,Niue
152,Norwegia
153,Nowa Kaledonia
154,Nowa Zelandia
155,Oman
156,Pakistan
157,Palau
158,Palestyna
159,Panama
160,Papua-Nowa Gwinea
161,Paragwaj
162,Peru
163,Pitcairn
164,Polinezja Francuska
165,Polska*
166,Portoryko
167,Portugalia
168,Republika Południowej Afryki
169,Republika Środkowoafrykańska
170,Republika Zielonego Przylądka
171,Reunion
172,Rosja
173,Rumunia
174,Rwanda
175,Sahara Zachodnia
176,Saint Kitts i Nevis
177,Saint Lucia
178,Saint Vincent i Grenadyny
179,Saint-Barthélemy
180,Saint-Martin
181,Saint-Pierre i Miquelon
182,Salwador
183,Samoa
184,Samoa Amerykańskie
185,San Marino
186,Sark
187,Senegal
188,Serbia
189,Seszele
190,Sierra Leone
191,Singapur
192,Sint Maarten
193,Słowacja
194,Słowenia
195,Somalia
196,Sri Lanka
197,Stany Zjednoczone
198,Sudan
199,Sudan Południowy
200,Surinam
201,Svalbard i Jan Mayen
202,Syria
203,Szwajcaria
204,Szwecja
205,Tadżykistan
206,Tajlandia
207,Tajwan
208,Tanzania
209,Timor Wschodni
210,Togo
211,Tokelau
212,Tonga
213,Trynidad i Tobago
214,Tunezja
215,Turcja
216,Turkmenistan
217,Turks i Caicos
218,Tuvalu
219,Uganda
220,Ukraina
221,Urugwaj
222,Uzbekistan
223,Vanuatu
224,Wallis i Futuna
225,Watykan
226,Wenezuela
227,Węgry
228,Wielka Brytania
229,Wietnam
230,Włochy
231,Wybrzeże Kości Słoniowej
232,Wyspa Bożego Narodzenia
233,Wyspa Man
234,Wyspa Norfolk
235,Wyspy Aland
236,Wyspy Cooka
237,Wyspy Dziewicze Stanów Zjednoczonych
238,Wyspy Kokosowe
239,Wyspy Marshalla
240,Wyspy Owcze
241,Wyspy Salomona
242,Wyspy Świętego Tomasza i Książęca
243,Zambia
244,Zimbabwe
245,Zjednoczone Emiraty Arabskie
