1,1,5,104,128,1,2,0,2,2,1,1029,1921-07-13 16:00:00,38399,87/07/16
2,1,2,98,16,1,2,0,1,3,3,945.5,1921-07-22 18:30:00,20037,93/08/21
3,1,2,11,156,1,2,0,1,2,1,977.5,1921-07-16 17:30:00,47866,86/10/24
4,1,3,90,68,1,2,1,1,2,2,885,1921-07-19 19:30:00,65623,91/12/26
5,1,3,244,134,1,3,1,1,1,2,1168,1921-07-01 20:00:00,71378,87/09/04
6,1,2,192,112,1,1,1,0,3,2,947.5,1921-07-27 17:00:00,81086,90/04/18
7,1,4,156,84,1,2,1,0,2,2,1065,1921-07-17 16:00:00,73164,95/07/02
8,1,2,195,114,1,2,0,2,3,1,765,1921-07-10 19:00:00,96990,86/10/12
9,1,4,211,30,1,2,0,2,3,2,856,1921-07-22 16:00:00,21346,96/02/28
10,1,1,238,90,1,2,2,0,1,1,978,1921-07-07 15:30:00,78070,97/01/12
11,1,4,72,38,2,2,0,1,3,2,720,1921-07-08 17:00:00,41671,84/11/04
12,1,5,90,159,2,3,0,1,1,2,1016.5,1921-07-09 15:30:00,65623,81/11/22
13,1,1,19,33,2,1,0,1,1,1,796.5,1921-07-28 18:00:00,67775,94/11/17
14,1,3,64,115,2,1,1,0,3,3,693.5,1921-07-20 15:30:00,44095,90/01/08
15,1,2,76,90,2,3,2,0,1,2,957,1921-07-25 18:30:00,22382,97/01/12
16,1,2,107,116,2,1,0,2,3,3,1091.5,1921-07-25 17:30:00,83921,92/12/19
17,1,1,218,110,2,3,1,1,2,1,1038.5,1921-07-10 15:30:00,10236,95/12/05
18,1,2,7,28,2,2,0,1,3,2,1054,1921-07-03 15:00:00,55001,95/05/04
19,1,5,127,25,2,1,1,0,2,1,841.5,1921-07-27 21:00:00,48547,89/03/20
20,1,2,232,189,2,1,0,1,2,1,882.5,1921-07-04 17:00:00,98902,92/12/16
21,1,2,161,53,3,3,2,0,1,3,1029.5,1921-08-16 18:00:00,21085,96/09/26
22,1,1,239,145,3,2,2,0,2,3,871.5,1921-08-21 19:00:00,29522,83/06/13
23,1,1,10,36,3,1,2,0,1,1,910.5,1921-08-25 17:30:00,86131,91/02/15
